frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.079,84.38,0.69,84.35,2,1,1
2,3.079,84.38,0.69,84.28,2,1,1
4,3.08,90.0,0.69,89.9,2,1,1
5,3.081,95.65,0.69,95.56,2,1,1
8,3.081,104.08,0.69,104.0,2,1,1
10,3.08,109.7,0.691,109.58,2,1,1
16,3.08,126.58,0.691,126.54,2,1,1
20,3.078,137.77,0.69,137.69,2,1,1
25,3.079,151.87,0.69,151.81,2,1,1
32,3.08,171.59,0.689,171.46,2,1,1
40,3.079,-165.92,0.691,-165.97,2,1,1
50,3.079,-137.82,0.691,-137.84,2,1,1
80,3.078,-56.23,0.69,-56.27,2,1,1
100,3.08,-0.01,0.69,-0.05,2,1,1
125,3.077,70.32,0.69,70.26,2,1,1
160,3.079,168.74,0.689,168.75,2,1,1
200,3.076,-81.54,0.689,-81.61,2,1,1
250,3.079,59.05,0.689,59.05,2,1,1
400,3.079,115.32,0.69,115.27,2,1,1
500,3.079,30.93,0.69,30.83,2,1,1
625,3.081,19.7,0.69,19.59,2,1,1
800,3.08,143.43,0.69,143.39,2,1,1
1000,3.081,-19.69,0.69,-19.65,2,1,1
1250,3.079,-45.01,0.689,-45.04,2,1,1
2000,3.079,-118.11,0.69,-118.15,2,1,1
2500,3.076,-163.11,0.689,-163.16,2,1,1
3125,3.091,135.01,0.694,134.97,2,1,1
4000,3.079,53.43,0.689,53.32,2,1,1
5000,3.077,-22.51,0.689,-22.52,2,1,1
6250,3.078,-140.7,0.689,-140.74,2,1,1
10000,3.076,5.0,0.689,4.94,2,1,1
12500,3.077,-110.89,0.69,-111.04,2,1,1
15625,3.076,166.34,0.69,166.52,2,1,1
25000,3.077,49.01,0.689,48.97,2,1,1
50000,3.069,24.8,0.687,24.78,2,1,1
62500,3.063,34.71,0.686,35.53,2,1,1
80000,3.053,-138.12,0.683,-137.6,2,1,1
100000,3.036,-41.03,0.682,-40.76,2,1,1
